,IDStation,NameStation,Date,Ammonia,CO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide,Wind_speed,Temperature,Relative_humidity,Global_radiation,Rainfall,Quadrante
140,677,Cremona Via Fatebenefratelli,2014-07-04,11.4,0.2041666666666667,37.8625,47.56666666666667,55.37083333333334,29.0,20.0,1.7166666666666668,0.6989464881309156,20.622222222222224,66.08541666666667,115.02222222222224,0.2,1
141,677,Cremona Via Fatebenefratelli,2014-07-05,10.4,0.2166666666666666,20.29583333333333,24.85,79.81666666666666,31.0,23.0,1.9875,1.5987847851869337,22.82777777777778,64.77152777777778,298.79305555555555,0.0,4
142,677,Cremona Via Fatebenefratelli,2014-07-06,11.1,0.2125,26.22083333333333,31.787500000000005,87.81250000000001,30.0,24.0,1.95,0.1821518681845881,25.41736111111112,60.51388888888889,236.01944444444445,0.0,1
143,677,Cremona Via Fatebenefratelli,2014-07-07,10.1,0.2,21.34166666666667,26.808333333333334,78.4,23.0,17.0,1.9541666666666668,0.3988194271153903,24.93680555555556,62.29027777777778,249.6291666666667,1.2000000000000002,4
144,677,Cremona Via Fatebenefratelli,2014-07-09,7.1000000000000005,0.1875,23.42083333333333,32.80833333333334,50.29583333333333,11.0,7.0,1.7625000000000002,0.4618063587892926,19.38055555555556,71.89236111111111,281.01527777777784,3.6000000000000005,4
145,677,Cremona Via Fatebenefratelli,2014-07-10,8.200000000000001,0.1333333333333333,21.375,31.820833333333333,68.9625,9.0,6.0,0.8666666666666667,0.5300522535245695,20.05625,64.72916666666667,301.26874999999995,0.0,1
146,677,Cremona Via Fatebenefratelli,2014-07-11,10.8,0.1958333333333333,27.620833333333334,37.475,72.72500000000001,18.0,13.0,0.7291666666666667,0.9260473298169364,22.460416666666667,62.989583333333336,306.3416666666666,0.0,1
147,677,Cremona Via Fatebenefratelli,2014-07-12,13.3,0.2041666666666667,24.479166666666668,30.366666666666667,71.14583333333334,32.0,25.0,0.5208333333333334,0.5244258516716489,21.038194444444446,80.26527777777778,157.3611111111111,17.6,1
148,677,Cremona Via Fatebenefratelli,2014-07-13,11.0,0.2,18.395833333333336,22.42083333333333,69.55,22.0,20.0,0.55,0.3945377325266828,21.61041666666667,74.60277777777777,210.74722222222223,0.0,1
149,677,Cremona Via Fatebenefratelli,2014-07-14,10.3,0.2,22.366666666666667,27.525,76.87916666666668,17.0,10.0,0.6958333333333334,0.971704315870176,22.100694444444446,73.16388888888889,206.2798611111112,0.0,1
150,677,Cremona Via Fatebenefratelli,2014-07-15,12.0,0.2347826086956522,28.6,38.14782608695652,70.0304347826087,23.0,17.0,0.3826086956521739,0.6564563869685895,24.253846153846155,62.65244755244756,308.98741258741256,0.0,1
151,677,Cremona Via Fatebenefratelli,2014-07-16,14.2,0.2958333333333334,36.34583333333334,47.96666666666667,74.53750000000001,25.0,16.0,0.4,0.3909828929275495,26.125,57.598611111111126,305.3041666666667,0.0,1
152,677,Cremona Via Fatebenefratelli,2014-07-17,13.8,0.2541666666666667,33.9,42.325,93.70416666666668,29.0,18.0,0.525,0.5336803615488873,27.090972222222224,57.15347222222222,290.13402777777765,0.0,1
153,677,Cremona Via Fatebenefratelli,2014-07-18,13.0,0.2125,28.554166666666667,34.09166666666667,110.46666666666668,28.0,15.0,0.4958333333333333,1.0555318896948738,26.87361111111112,55.98402777777778,306.26250000000005,0.0,1
154,677,Cremona Via Fatebenefratelli,2014-07-19,14.9,0.2291666666666666,27.262500000000003,32.3375,100.17083333333332,32.0,24.0,0.45,0.7847036905123056,27.89236111111111,55.0375,297.3034722222223,0.0,1
155,677,Cremona Via Fatebenefratelli,2014-07-20,22.4,0.2833333333333334,33.05833333333334,39.72083333333333,56.94583333333334,52.0,37.0,0.425,0.382362914501174,25.652083333333334,69.69652777777779,136.36527777777778,0.0,1
156,677,Cremona Via Fatebenefratelli,2014-07-21,15.8,0.2125,29.620833333333334,37.0,53.50416666666667,16.0,13.0,1.0875,0.1384493240768377,20.775,81.53055555555557,91.3361111111111,3.600000000000001,4
157,677,Cremona Via Fatebenefratelli,2014-07-22,11.1,0.2166666666666666,26.354166666666668,40.59583333333333,74.00416666666668,26.0,20.0,1.1333333333333333,0.3015734325609938,22.94027777777778,72.26319444444447,263.91527777777776,0.2,4
158,677,Cremona Via Fatebenefratelli,2014-07-23,15.6,0.2083333333333333,30.554166666666667,39.40416666666667,72.64166666666668,25.0,19.0,0.4958333333333333,0.6849418518893801,24.780555555555555,65.96736111111112,237.76875,0.0,1
159,677,Cremona Via Fatebenefratelli,2014-07-24,10.5,0.2041666666666667,25.391666666666666,31.79583333333333,63.866666666666674,21.0,14.0,0.3458333333333334,0.3901166869346095,20.23888888888889,92.39166666666668,85.59513888888891,10.99999999999999,4
